"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.346643827E0,1.040000021E-1,8.395999908E0,5.359000206E0,9.961049828E0
1.351652904E0,1.809999943E-1,8.434000015E0,5.282000065E0,9.953122221E0
1.356661971E0,1.809999943E-1,8.395999908E0,5.435999870E0,1.000378279E1
1.361670971E0,1.809999943E-1,8.472999573E0,5.396999836E0,1.004749173E1
1.366681043E0,1.809999943E-1,8.434000015E0,5.321000099E0,9.973873837E0
1.371689889E0,2.189999968E-1,8.510999680E0,5.396999836E0,1.008031169E1
1.376698961E0,2.189999968E-1,8.472999573E0,5.396999836E0,1.004824811E1
1.381706730E0,2.189999968E-1,8.510999680E0,5.243999958E0,9.999230576E0
1.386713337E0,2.189999968E-1,8.472999573E0,5.243999958E0,9.966906156E0
1.391719875E0,1.430000067E-1,8.548999786E0,5.129000187E0,9.970581190E0
1.396726706E0,1.040000021E-1,8.434000015E0,5.166999817E0,9.891463965E0
1.401733937E0,1.040000021E-1,8.510999680E0,5.205999851E0,9.977492972E0
1.406740534E0,1.040000021E-1,8.395999908E0,5.282000065E0,9.919836448E0
1.411746841E0,1.040000021E-1,8.434000015E0,5.091000080E0,9.851977166E0
1.416753212E0,1.430000067E-1,8.395999908E0,5.205999851E0,9.880065684E0
1.421759212E0,1.430000067E-1,8.357999802E0,5.282000065E0,9.888181550E0
1.426766836E0,1.430000067E-1,8.319000244E0,5.321000099E0,9.876196440E0
1.431775759E0,6.599999964E-2,8.281000137E0,5.321000099E0,9.843391759E0
1.436784836E0,1.040000021E-1,8.319000244E0,5.359000206E0,9.896234853E0
1.441793913E0,1.040000021E-1,8.395999908E0,5.243999958E0,9.899654844E0
1.446802202E0,1.040000021E-1,8.319000244E0,5.282000065E0,9.854750415E0
1.451810202E0,1.430000067E-1,8.319000244E0,5.243999958E0,9.834924993E0
1.456819134E0,1.430000067E-1,8.319000244E0,5.321000099E0,9.876196440E0
1.461828134E0,6.599999964E-2,8.357999802E0,5.396999836E0,9.949277557E0
1.466836356E0,1.040000021E-1,8.357999802E0,5.359000206E0,9.929041237E0
1.471843741E0,1.430000067E-1,8.357999802E0,5.396999836E0,9.950086277E0
1.476852423E0,1.430000067E-1,8.472999573E0,5.473999977E0,1.008845115E1
1.481861192E0,1.430000067E-1,8.395999908E0,5.435999870E0,1.000316740E1
1.486869187E0,6.599999964E-2,8.395999908E0,5.396999836E0,9.981221253E0
1.491878803E0,1.809999943E-1,8.472999573E0,5.435999870E0,1.006849429E1
1.496888341E0,1.040000021E-1,8.510999680E0,5.396999836E0,1.007846907E1
1.501897572E0,1.430000067E-1,8.434000015E0,5.243999958E0,9.932388475E0
1.506906434E0,1.430000067E-1,8.510999680E0,5.396999836E0,1.007894696E1
